,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
0,25-Jun-2018,USA,California,"Oceanside, San Diego County",non representative,57,evening,White shark,June,N,F
1,18-Jun-2018,USA,Georgia,"St. Simon Island, Glynn County",walking,11,Unkown,White shark,June,N,F
2,09-Jun-2018,USA,Hawaii,"Habush, Oahu",surfing,48,Unkown,White shark,June,N,M
3,08-Jun-2018,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,27.34582218257508,Unkown,2 m shark,June,N,M
4,04-Jun-2018,MEXICO,Colima,La Ticla,diving,27.34582218257508,Unkown,"Tiger shark, 3m",June,N,M
5,03-Jun-2018,AUSTRALIA,New South Wales,"Flat Rock, Ballina",non representative,27.34582218257508,Unkown,White shark,June,N,M
6,03-Jun-2018,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,18,afternoon,Tiger shark,June,F,M
7,27-May-2018,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",non representative,52,Unkown,"Lemon shark, 3'",May,N,M
8,26-May-2018,USA,Florida,"Cocoa Beach, Brevard  County",walking,15,evening,"Bull shark, 6'",May,N,M
9,26-May-2018,USA,Florida,"Daytona Beach, Volusia County",walking,12,afternoon,White shark,May,N,M
10,24-May-2018,AUSTRALIA,Queensland,Cairns Aquarium,non representative,32,morning,Grey reef shark,May,N,M
11,21-May-2018,USA,South Carolina,"Isle of Palms,  Charleston County",surfing,10,Unkown,White shark,May,N,M
12,13-May-2018,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,10,afternoon,White shark,May,N,M
13,13-May-2018,ENGLAND,Cornwall,Off Land's End,non representative,21,Unkown,Invalid incident,May,N,M
14,May 2018,AUSTRALIA,Westerm Australia,Dugong Bay,non representative,34,Unkown,"Tawny nurse shark, 2m",May,N,F
15,12-May-2018,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",surfing,27.34582218257508,morning,White shark,May,N,M
16,09-May-2018,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,27.34582218257508,morning,Shark involvement not confirmed,May,N,M
17,Reported 30-Apr-2018,THAILAND,Hua Hin,Sai Noi Beach,swimming,27.34582218257508,Unkown,White shark,April,N,M
18,28-Apr-2018,COSTA RICA,Cocos Island,Manuelita,non representative,30,Unkown,Tiger shark,April,N,M
19,28-Apr-2018,AUSTRALIA,Western Australia,Gearys Beach,surfing,27.34582218257508,Unkown,White shark,April,N,M
20,25-Apr-2018,AUSTRALIA,New South Wales,Lennox Head,surfing,27.34582218257508,morning,Questionable,April,N,M
21,25-Apr-2018,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",surfing,60,morning,3 m shark,April,N,M
22,24-Apr-2018,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,27.34582218257508,afternoon,"White shark, 3.5 m",April,N,M
23,23-Apr-2018,MALDIVES,Alifu Alifu Atoll,Madoogali,non representative,32,Unkown,Tiger shark,April,N,M
24,22-Apr-2018,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",non representative,33,Unkown,"White shark, 2.5 m",April,N,M
25,19-Apr-2018,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",non representative,29,Unkown,6' shark,April,N,M
26,15-Apr-2018,THAILAND,Hua Hin,Sai Noi Beach,swimming,54,Unkown,Juvenile bull shark,April,N,M
27,15-Apr-2018,BRAZIL,Pernambuco,Piedade,swimming,34,Unkown,White shark,April,N,M
28,15-Apr-2018,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",surfing,41,Unkown,White shark,April,N,M
29,15-Apr-2018,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",surfing,37,morning,White shark,April,N,M
30,14-Apr-2018,BAHAMAS,New Providence,Nirvana Beach,surfing,27.34582218257508,morning,Tiger shark,April,N,M
31,Reported 10-Apr-2018,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",non representative,56,Unkown,Shark involvement not confirmed,April,N,M
32,09-Apr-2018,NEW CALEDONIA,Unkown,"Magenta Beach, Noumea",surfing,27.34582218257508,evening,2 m shark,April,N,M
33,05-Apr-2018,BAHAMAS,Unkown,Bimini,swimming,12,evening,Bull shark,April,N,M
34,03-Apr-2018,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,19,afternoon,White shark,April,N,M
35,31-Mar-2018,USA,Hawaii,Kukio Beach,non representative,25,morning,"Tiger shark, 12'",March,N,M
36,14-Mar-2018,AUSTRALIA,Western Australia,Waterman's Bay,fishing,10,Unkown,Wobbegong shark,March,N,M
37,9-Mar-2018,AUSTRALIA,Victoria,Lorne,swimming,69,afternoon,3.5 m shark,March,N,M
38,9-Mar-2018,AUSTRALIA,Victoria,Winkipop,surfing,18,morning,1.8 m shark,March,N,M
39,24-Feb-2018,SOUTH AFRICA,KwaZulu-Natal,Durban,diving,38,Unkown,Blacktip shark,February,N,M
40,23-Feb-2018,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",swimming,55,Unkown,"Juvenile white shark,  2.7 to 3.2 m",February,N,F
41,18-Feb-2018,AUSTRALIA,Victoria,Westernport Bay,non representative,34,night,White shark,February,N,M
42,15-Feb-2018,AUSTRALIA,New South Wales,"Surf Beach, Kiama",walking,35,afternoon,"Bull shark, 2 m",February,N,M
43,14-Feb-2018,AUSTRALIA,Queensland,Mooloolaba Beach,swimming,27.34582218257508,evening,Possibly a wobbegong,February,N,F
44,11-Feb-2018,BRAZIL,"Boi Island, Victoria",Espirito Santo,non representative,46,Unkown,"Injury believed caused by an eel, not a shark",February,N,F
45,03-Feb-2018,ECUADOR,Galapagos Islands,Santa Fe Island,non representative,45,Unkown,Galapagos shark?,February,N,M
46,01-Feb-2018,AUSTRALIA,Western Australia,"Avalon Point, Manurah",fishing,14,Unkown,2m shark,February,N,M
47,28-Jan-2018,AUSTRALIA,Western Australia,Cone Bay,non representative,18,morning,Bull shark,January,N,M
48,21-Jan-2018,NEW CALEDONIA,Unkown,Nouville,fishing,40s,afternoon,"Bull shark, 3 m ",January,N,M
49,14-Jan-2018,AUSTRALIA,Queensland,Lizard Island,non representative,27.34582218257508,Unkown,Grey reef shark. 2 m,January,N,M
50,13-Jan-2018,AUSTRALIA,New South Wales,Martin Islet,diving,28,Unkown,"White shark, 3.5 m",January,N,M
51,12-Jan-2018,BRAZIL,Fernando de Noronha,Conceicao Beach,surfing,20,afternoon,small shark,January,N,M
52,05-Jan-2018,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,27.34582218257508,Unkown,Wobbegong shark?,January,N,M
53,31-Dec-2017,USA,Hawaii,"Hultin's Beach, Oahu",surfing,54,evening,Tiger shark,December,N,F
54,30-Dec-2017,USA,California,"Drakes Estero, Point Reyes, Marin County",surfing,35,afternoon,White shark,December,N,F
55,21-Dec-2017,MALAYSIA,Sepang,Bagan Lalang Beach,non representative,24,Unkown,Juvenile nurse shark,December,N,M
56,09-Dec-2017,BAHAMAS,Unkown,Unkown,non representative,25,Unkown,Nurse shark. 5',December,N,F
57,30-Nov-2017,COSTA RICA,Cocos Island,Manuelita,diving,26,Unkown,"Tiger shark, female",November,N,M
58,30-Nov-2017,COSTA RICA,Cocos Island,Manuelita,non representative,49,Unkown,"Tiger shark, female",November,F,F
59,Reported 25-Nov-2017,LIBYA,Unkown, Gars Garabulli,non representative,27.34582218257508,Unkown,Some drowned but other may have been killed by blue sharks,November,F,M
60,24-Nov-2017,USA,California,"Stillwater Cove, Monterey County",fishing,25,Unkown,"White shark, 4.6 m",November,N,M
61,18-Nov-2017,USA,Florida,"Floridana Beach, Brevard County",surfing,14,afternoon,White shark,November,N,F
62,Reported 13-Nov-2017,Unkown,Unkown,Unkown,surfing,24,Unkown,White shark,November,N,M
63,13-Nov-2017,AUSTRALIA,New South Wales,Avoca Beach,surfing,25,afternoon,2 m shark,November,N,M
64,04-Nov-2017,CUBA,Holquin Province,Guardalavaca Beach,non representative,22,night,Tiger shark,November,F,M
65,Reported 31-Oct-2017,AUSTRALIA,Queensland,Magnetic Island,non representative,7,Unkown,Cookiecutter shark,october,N,M
66,28-Oct-2017,AUSTRALIA,New South Wales,Birubi Point,surfing,31,morning,"Wobbegong shark, 1 m",october,N,M
67,26-Oct-2017,USA,Hawaii,"White Plains Beach, Oahu",non representative,27.34582218257508,afternoon,White shark,october,N,M
68,23-Oct-2017,MAURITIUS,Pamplemousses ,Le Goulet,swimming,27.34582218257508,afternoon,White shark,october,N,M
69,23-Oct-2017,USA,Florida,"Juno Beach, Palm Beach County",non representative,17,evening,White shark,october,N,M
70,23-Oct-2017,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",swimming,60,morning,White shark,october,N,F
71,22-Oct-2017,AUSTRALIA,South Australia,Normanville,non representative,15,afternoon,"White shark, 4.5 m",october,N,F
72,21-Oct-2017,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",non representative,27.34582218257508,morning,2 m shark,october,N,M
73,18-Oct-2017,USA,Florida,"Lantana Beach, Palm Beach County",swimming,27.34582218257508,afternoon,"Spinner shark, 4 to 5 feet",october,N,M
74,09-Oct-2017,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",surfing,54,evening,"Tiger shark, 8 to 10 feet",october,N,M
75,05-Oct-2017,USA,Hawaii,"Kamaole Beach Park, Maui ",non representative,40,afternoon,8' shark,october,N,F
76,01-Oct-2017,SOUTH AFRICA,Western Cape Province,Dyer Island,diving,31,Unkown,Death may have been due to drowning,october,N,M
77,25-Sep-2017,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,27.34582218257508,morning,5' shark,September,N,M
78,25-Sep-2017,AUSTRALIA,Western Australia,Gracetown,surfing,27.34582218257508,evening,"White shark, 3.5 m",September,N,M
79,24-Sep-2017,USA,New York,Rockaway,surfing,33,afternoon,Questionable,September,N,M
80,24-Sep-2017,USA,Florida,Fort Worth,surfing,27.34582218257508,afternoon,4' to 5' shark,September,N,M
81,20-Sep-2017,USA,Florida,Palm Beach County,surfing,27.34582218257508,morning,White shark,September,N,M
82,16-Sep-2017,SPAIN,Canary Islands,Gran Canaria ,non representative,13,Unkown,"Porbeagle, 1.5 m",September,N,M
83,16-Sep-2017,USA,Florida,"Ponce Inlet, Volusia County",surfing,28,afternoon,White shark,September,N,M
84,15-Sep-2017,SOUTH AFRICA,Western Cape Province,Hawston,diving,25,afternoon,White shark,September,N,M
85,15-Sep-2017,SAMOA, Upolu Island,Nofoalii,non representative,27.34582218257508,night,White shark,September,N,M
86,Sep-2017,AUSTRALIA,Westerm Australia,Esperance,non representative,27.34582218257508,Unkown,"White shark, 3.5m",September,N,M
87,13-Sep-2017,USA,Florida,"Ponce Inlet, Volusia County",surfing,18,Unkown,5' to 6' shark,September,N,M
88,10-Sep-2017,AUSTRALIA,Westerm Australia,Sam's Creek area,swimming,27.34582218257508,afternoon,White shark,September,N,M
89,10-Sep-2017,AUSTRALIA,New South Wales,Iluka Beach,surfing,35,morning,"White shark, 3 to 3.5m ",September,N,M
90,Reported 06-Sep-2017,SOLOMON ISLANDS,Unkown,Owarigi Island,fishing,27.34582218257508,Unkown,White shark,September,N,M
91,03-Sep-2017,SOUTH AFRICA,Western Cape Province,Dyer Island,non representative,27.34582218257508,morning,White shark,September,F,M
92,03-Sep-2017,JAPAN,Shizuoka Prefecture,Iwata City,surfing,42,morning,White shark,September,N,M
93,02-Sep-2017,USA,Florida,"Marathon, Monroe County",swimming,27.34582218257508,Unkown,Nurse shark,September,N,M
94,02-Sep-2017,USA,Texas,"South Padre Island, Cameron County",swimming,27.34582218257508,Unkown,White shark,September,N,F
95,02-Sep-2017,USA,Florida,"New Smyrna Beach, Volusia County",surfing,17,Unkown,White shark,September,N,M
96,29-Aug-2017,AUSTRALIA,Victoria,Cathedral Rock,surfing,37,morning,"White shark, 3 m",August,N,M
97,27-Aug-2017,USA,Florida,Bathtub Beach ,fishing,3,Unkown,White shark,August,N,F
98,26-Aug-2017,SPAIN,Castellón,Grao de Moncofa,swimming,11,Unkown,Shark involvement questionable,August,N,F
99,26-Aug-2017,NEW ZEALAND,North Island,Off Tutukaka,boating,27.34582218257508,Unkown,White shark,August,N,M
100,23-Aug-2017,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",non representative,69,morning,"White shark, 5' to 7'",August,N,M
101,18-Aug-2017,BAHAMAS,Unkown,Unkown,fishing,27.34582218257508,afternoon,5' shark,August,N,M
102,10-Aug-2017,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",swimming,13,afternoon,Possibly a juvenile blacktip shark,August,N,M
103,05-Aug-2017,EGYPT,Red Sea Protectorate,Marsa Ghalib,non representative,20,Unkown,"Oceanic whitetip shark, 1.8 to 2 m",August,N,F
104,03-Aug-2017,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",non representative,34,night,4' shark,August,N,M
105,01-Aug-2017,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",non representative,27.34582218257508,Unkown,"White shark, 10'",August,N,M
106,31-Jul-2017,USA,Florida,"Jacksonvlle, Duval County",non representative,15,evening,White shark,July,N,M
107,29-Jul-2017,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,10,afternoon,A small shark,July,N,M
108,29-Jul-2017,USA,South Carolina,"DeBordieu Colony, Georgetown County",non representative,12,afternoon,White shark,July,N,F
109,27-Jul-2017,BAHAMAS,New Providence District,Rose Island,non representative,27.34582218257508,Unkown,White shark,July,N,F
110,Reported 26-Jul-2017,BAHAMAS,40 miles off Grand Bahama Island,Unkown,fishing,27.34582218257508,Unkown,White shark,July,N,M
111,24-Jul-2017,"ST HELENA, British overseas territory",Ascension Island,English Bay,surfing,37,evening,White shark,July,N,M
112,23-Jul-2017,USA,New Jersey,Ventnor,non representative,27.34582218257508,Unkown,Sandtiger shark  2',July,N,F
113,23-Jul-2017,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",swimming,27.34582218257508,afternoon,Blue shark 6',July,N,F
114,22-Jul-2017,USA,Florida,"Snipes Point, Monroe County",non representative,40,afternoon,"""A small shark""",July,N,F
115,20-Jul-2017,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,8,Unkown,Shark involvement not confirmed,July,N,F
116,20-Jul-2017,USA,California,"Stearns Wharf, Santa Barbara",non representative,40,Unkown,"White shark, 11' to 13'",July,N,M
117,20-Jul-2017,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",non representative,50,Unkown,"White shark, 8' to 10'",July,N,M
118,14-Jul-2017,USA,Washington,"South Beach, Westport, Grays Harbor County",surfing,27.34582218257508,evening,"White shark, 9'",July,N,M
119,14-Jul-2017,AUSTRALIA,Western Australia,Floreat Beach,surfing,27.34582218257508,Unkown,White shark,July,N,M
120,11-Jul-2017,USA,California,"Santa Cruz, Santa Cruz County",non representative,27.34582218257508,morning,White shark,July,N,M
121,09-Jul-2017,USA,Florida,"Haulover Beach, Miami-Dade County",swimming,46,afternoon,"Bull shark, 4' to 5'",July,N,M
122,Reported 07-Jul-2017,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",non representative,32,Unkown,"Tiger shark, 100 kg",July,N,M
123,07-Jul-2017,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",surfing,13,afternoon,"White shark, 2.5 m",July,N,F
124,02-Jul-2017,COMOROS,Anjouan,Moya,non representative,27.34582218257508,Unkown,Shark involvement prior to death not confirmed,July,N,M
125,29-Jun-2017,USA,South Carolina,Wrightsville Beach,non representative,27.34582218257508,evening,No shark invovlement ,June,N,M
126,21-Jun-2017,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",swimming,16,Unkown,White shark,June,N,F
127,19-Jun-2017,USA,Florida,"Singer Island, Palm Beach County",surfing,27.34582218257508,morning,White shark,June,N,M
128,18-Jun-2017,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",swimming,14,Unkown,"Bull shark, 4' to 5'",June,N,F
129,18-Jun-2017,REUNION,Unkown,Roches Noire,non representative,34,morning,"Bull shark, 2m",June,N,M
130,17-Jun-2017,SPAIN,Ibiza Island,Playa den Bossa,swimming,82,afternoon,White shark,June,N,M
131,2017.06.05,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",surfing,27.34582218257508,Unkown,White shark,Unkown,N,M
132,Reported 14-Jun-2017,BAHAMAS,Unkown,Unkown,non representative,27.34582218257508,Unkown,White shark,June,N,F
133,11-Jun-2017,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",non representative,48,morning,"White shark, 4 m",June,N,M
134,10-Jun-2017,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",surfing,27.34582218257508,Unkown,Seven-gill shark,June,N,F
135,10-Jun-2017,USA,Florida,"Ponce Inlet, Volusia County",surfing,19,morning,White shark,June,N,M
136,Reported 07-Jun-2017,UNITED KINGDOM,South Devon,Bantham Beach,non representative,30,Unkown,"3m shark, probably a smooth hound",June,N,M
137,04-Jun-2017,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",fishing,27.34582218257508,Unkown,8' shark,June,N,M
138,02-Jun-2017,BAHAMAS,New Providence ,Athol Island,non representative,32,Unkown,Tiger shark,June,N,F
139,30-May-2017,USA,South Carolina,"Awendaw, Charleston County",non representative,20,Unkown,3' shark,May,N,F
140,28-May-2017,USA,Florida,Off Jupiter,non representative,27.34582218257508,morning,Tiger shark,May,N,M
141,27-May-2017,AUSTRALIA,New South Wales,Evans Head,fishing,73,Unkown,White shark,May,N,M
142,12-May-2017,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,fishing,41,morning,White shark,May,N,M
143,Reported 06-May-2017,AUSTRALIA,Queensland,Weipa,non representative,29,Unkown,9' shark,May,N,M
144,05-May-2017,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",non representative,33,evening,White shark,May,F,M
145,03-May-2017,USA,California,"Sunset Beach, Orange County",surfing,18,afternoon,Shark involvement highly doubtful,May,N,F
146,29-Apr-2017,USA,California,"San Onofre, San Diego County ",swimming,27.34582218257508,Unkown,White shark,April,N,F
147,29-Apr-2017,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",surfing,14,Unkown,White shark,April,N,M
148,29-Apr-2017,USA,South Carolina,"Folly Beach, Charleston County",surfing,33,morning,White shark,April,N,F
149,29-Apr-2017,REUNION,Saint-Leu,Pointe au Sal,non representative,28,Unkown,White shark,April,F,M
150,27-Apr-2017,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",non representative,20s,afternoon,White shark,April,N,F
151,26-Apr-2017,USA,Florida,Unkown,non representative,27.34582218257508,Unkown,No shark invovlement - it ws a publicity stunt,April,N,F
152,22-Apr-2017,"ST HELENA, British overseas territory",Ascension Island,English Bay,non representative,40,afternoon,White shark,April,N,F
153,20-Apr-2017,USA,South Carolina,Georgetown County,swimming,27.34582218257508,Unkown,Shark involvement not confirmed,April,N,M
154,17-Apr-2017,USA,Florida,"Daytona Beach, Volusia County",non representative,27.34582218257508,afternoon,White shark,April,N,M
155,17-Apr-2017,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,surfing,17,afternoon,White shark,April,F,F
156,14-Apr-2017,USA,Hawaii,"Kekaha Beach, Kauai",surfing,28,morning,"Tiger shark, 12'",April,N,M
157,13-Apr-2017,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,17,afternoon,White shark,April,N,M
158,12-Apr-2017,USA,Florida,St. Augustine,surfing,27.34582218257508,Unkown,White shark,April,N,F
159,12-Apr-2017,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,diving,68,Unkown,Shark involvement prior to death not confirmed,April,N,M
160,11-Apr-2017,USA,Florida,"Ormond Beach, Volusia County",surfing,35,afternoon,White shark,April,N,F
161,10-Apr-2017,USA,Florida,"Melbourne Beach, Brevard County",boating,10,Unkown,White shark,April,N,F
162,10-Apr-2017,USA,Florida,"Melbourne Beach, Brevard County",swimming,21,evening,White shark,April,N,F
163,06-Apr-2017,USA,Florida,"Daytona, Volusia County",swimming,16,Unkown,White shark,April,N,M
164,05-Apr-2017,USA,Florida,"New Smyrna Beach, Volusia County",swimming,51,afternoon,White shark,April,N,F
165,02-Apr-2017,AUSTRALIA,Queensland,Moreton Bay,non representative,39,afternoon,White shark,April,N,M
166,02-Apr-2017,USA,Florida,"Destin, Okaloosa County",swimming,17,afternoon,"Bull shark, 5' to 7'",April,N,F
167,27-Mar-2017,USA,Florida,"New Smyrna Beach, Volusia County",surfing,58,morning,White shark,March,N,M
168,19-Mar-2017,AUSTRALIA,New South Wales,The Farm,non representative,30,evening,White shark,March,N,M
169,18-Mar-2017,USA,California,Monterey Bay,non representative,27.34582218257508,afternoon,White shark,March,N,M
170,11-Mar-2017,PHILIPPINES,Luzon Island,"Villamar, Caoayan",fishing,25,Unkown,10' shark,March,N,M
171,Reported 09-Mar-2017,BAHAMAS,Great Exuma,Unkown,non representative,58,Unkown,Lemon shark,March,N,M
172,25-Feb-2017,AUSTRALIA,Western Australia,Mauds Point,non representative,27.34582218257508,morning,"Bull shark, 1.5",February,N,F
173,24-Feb-2017,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",surfing,27.34582218257508,morning,White shark,February,N,M
174,21-Feb-2017,REUNION,Saint-Andre,Unkown,non representative,26,morning,White shark,February,F,M
175,17-Feb-2017,AUSTRALIA,Queensland,Eva Rock,fishing,26,Unkown,White shark,February,N,M
176,11-Feb-2017,USA,Florida,"Melbourne Beach, Brevard County",swimming,22,afternoon,White shark,February,N,M
177,06-Feb-2017,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,non representative,27.34582218257508,afternoon,Lemon shark pup,February,N,F
178,06-Feb-2017,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,non representative,27.34582218257508,Unkown,Tiger shark,February,N,M
179,01-Feb-2017,USA,South Carolina,16 miles off Hilton Head,non representative,27.34582218257508,Unkown,"White shark, female, 14'",February,N,M
180,01-Feb-2017,BAHAMAS,Bimini,Unkown,diving,37,Unkown,Caribbean reef shark,February,N,M
181,24-Jan-2017,BRAZIL,Pernambuco,"Boa Viagem, Recife",swimming,21,Unkown,White shark,January,N,M
182,22-Jan-2017,USA,Florida,"Vero Beach, Indian River County",non representative,Teen,afternoon,White shark,January,N,M
183,21-Jan-2017,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",diving,55,afternoon,"Bull shark, 4 m",January,N,M
184,13-Jan-2017,AUSTRALIA,Queensland,Clairview,swimming,57,afternoon,White shark,January,N,M
185,13-Jan-2017,USA,Florida,Jensen Beach,non representative,27.34582218257508,morning,White shark,January,N,M
186,09-Jan-2017,INDONESIA,Bali,Balian Beach,surfing,48,morning,"Bull shark, 1 m",January,N,M
187,Reported 08-Jan-2017,AUSTRALIA,Queensland,Unkown,fishing,35,Unkown,Bull shark,January,N,M
188,05-Jan-2017,USA,Florida,"Blockhouse Beach, Brevard County",fishing,47,afternoon,White shark,January,N,M
189,03-Jan-2017,AUSTRALIA,New South Wales,Merimbula,fishing,20,evening,Shark involvement not confirmed,January,N,M
190,27-Dec-2016,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",surfing,16,evening,White shark,December,N,M
191,24-Dec-2016,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",non representative,27.34582218257508,morning,a small shark,December,N,F
192,19-Dec-2016,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",non representative,55,morning,"White shark, 4 m",December,N,M
193,14-Dec-2016,AUSTRALIA,Western Australia,Trigg Beach,diving,61,morning,White shark,December,N,M
194,11-Dec-2016,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,non representative,40s,Unkown,White shark,December,N,M
195,11-Dec-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,19,afternoon,Shark involvement not confirmed,December,N,M
196,06-Dec-2016,AUSTRALIA,New South Wales,Merimbula,fishing,20,night,"Wobbegong shark, 2m",December,N,M
197,01-Dec-2016,AUSTRALIA,New South Wales,Booti Booti National Park,surfing,65,morning,White shark,December,N,M
198,28-Nov-2016,AUSTRALIA,Victoria,Queenscliff,non representative,73,morning,"Broadnose sevengill shark, 1.5 m",November,N,M
199,14-Nov-2016,USA,Hawaii,"Kamaole Beach Park I, Maui",swimming,58,morning,Tiger shark,November,N,F
200,30-Oct-2016,USA,Florida,"Mayport Naval Station Beach, Duval County",surfing,41,afternoon,White shark,october,N,M
201,29-Oct-2016,USA,Florida,Mayport Naval Station  Duval County,surfing,42,afternoon,White shark,october,N,M
202,24-Oct-2016,AUSTRALIA,New South Wales,Broken Head Beach,surfing,36,morning,White shark,october,N,M
203,21-Oct-2016,USA,Hawaii,"Hooipa Beach Park, Maui",surfing,36,evening, 6' to 8' shark,october,N,M
204,15-Oct-2016,AUSTRALIA,Queensland,"Kings Beach, Caloundra",surfing,27.34582218257508,evening,White shark,october,N,M
205,14-Oct-2016,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",non representative,66,Unkown,White shark,october,N,F
206,13-Oct-2016,MEXICO,Unkown,Guadalupe Island,non representative,27.34582218257508,Unkown,White shark,october,N,M
207,12-Oct-2016,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,25,morning,White shark,october,N,M
208,10-Oct-2016,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",surfing,29,afternoon,White shark,october,N,M
209,02-Oct-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,21,morning,White shark,october,N,M
210,01-Oct-2016,USA,Florida,"New Smyrna Beach, Volusia County",non representative,32,evening,White shark,october,N,M
211,26-Sep-2016,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",surfing,17,Unkown,"White shark, 3.5 m",September,N,M
212,18-Sep-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,16,afternoon,White shark,September,N,M
213,18-Sep-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,36,morning,White shark,September,N,M
214,18-Sep-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,43,Unkown,White shark,September,N,M
215,17-Sep-2016,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",surfing,43,Unkown,White shark,September,N,M
216,17-Sep-2016,AUSTRALIA,Victoria,Thirteenth Beach,surfing,27.34582218257508,Unkown,White shark,September,N,M
217,16-Sep-2016,AUSTRALIA,Victoria,Bells Beach,surfing,27.34582218257508,Unkown,2 m shark,September,N,M
218,15-Sep-2016,AUSTRALIA,Western Australia,Bunbury,non representative,27.34582218257508,Unkown,White shark,September,N,M
219,11-Sep-2016,USA,Florida,"Ponte Vedra, St. Johns County",fishing,60s,Unkown,3' to 4' shark,September,N,M
220,07-Sep-2016,USA,Hawaii,"Makaha, Oahu",swimming,51,afternoon,"Tiger shark, 10'",September,N,F
221,06-Sep-2016,NEW CALEDONIA,North Province,Koumac,non representative,50,Unkown,White shark,September,F,M
222,05-Sep-2016,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",surfing,12,afternoon,White shark,September,N,F
223,05-Sep-2016,AUSTRALIA,Western Australia,Injidup ,surfing,27.34582218257508,afternoon,White shark,September,N,M
224,04-Sep-2016,USA,Florida,"New Smyrna Beach, Volusia County",non representative,9,Unkown,White shark,September,N,M
225,01-Sep-2016,USA,California,"Refugio State Beach, Santa Barbara County",fishing,22,Unkown,"White shark, 8' to 10'",September,N,M
226,Sep-2016,MEXICO,Unkown,Guadalupe Island,non representative,27.34582218257508,Unkown,Invalid,September,N,M
227,29-Aug-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,25,afternoon,"Bull shark, 6'",August,N,M
