,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
2046,29-Jun-2000,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",non representative,27.34582218257508,Unkown,"Mako shark, 2 m [6.75'] ",June,N,M
2047,19-Jun-2000,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",walking,52,Unkown,White shark,June,N,M
2048,13-Jun-2000,USA,Florida,"Pensacola Bay, Escambia County",boating,27.34582218257508,afternoon,"Bull shark, 2.4 m [8']",June,N,M
2049,10-Jun-2000,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",surfing,17,afternoon,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",June,N,M
2050,09-Jun-2000,USA,Alabama,"Gulf Shores, Baldwin County",swimming,55,Unkown,Bull shark?,June,N,M
2051,09-Jun-2000,USA,Alabama,"Gulf Shores, Baldwin County",swimming,44,Unkown,Bull shark,June,N,M
2052,02-Jun-2000,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",non representative,13,Unkown,White shark,June,N,M
2053,Early Jun-2000,TANZANIA,Unkown,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",swimming,27.34582218257508,Unkown,Thought to involve a Zambesi shark,June,F,M
2054,13-May-2000,NEW CALEDONIA,South Province,Mont Dore,non representative,27.34582218257508,Unkown,Tiger sharks & bull sharks (20 sharks in all),May,F,M
2055,09-May-2000,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,May,N,M
2056,07-May-2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",walking,9,Unkown,White shark,May,N,M
2057,07-May-2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",non representative,27.34582218257508,Unkown,White shark,May,F,M
2058,14-Apr-2000,USA,Florida,"On the south side of Ponce Inlet, Volusia County",walking,34,Unkown,White shark,April,N,M
2059,09-Apr-2000,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",non representative,27.34582218257508,afternoon,White shark,April,N,M
2060,31-Mar-2000,USA,Florida,Santa Rosa Sound Escambia County,non representative,27.34582218257508,Unkown,White shark,March,N,M
2061,30-Mar-2000,AUSTRALIA,Queensland,"Main Beach, Gold Coast",swimming,26,afternoon,2.5 m shark,March,N,M
2062,26-Mar-2000,USA,Florida,"Juno Beach, Palm Beach County",surfing,14,Unkown,1.8 m [6'] shark,March,N,F
2063,24-Mar-2000,USA,Florida,"Floridana Beach, Brevard County",surfing,37,afternoon,1.2 m [4'] shark,March,N,M
2064,15-Mar-2000,NEW CALEDONIA,North Province,Poum,fishing,35,morning,Tiger shark?,March,F,M
2065,14-Mar-2000,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",surfing,27.34582218257508,evening,"Tiger shark, 4 m [13'] ?",March,N,M
2066,10-Mar-2000,AUSTRALIA,New South Wales,Parramatta River,boating,27.34582218257508,Unkown,2 m to 2.5 m [6.75'  to 8.25'] shark,March,N,M
2067,09-Mar-2000,AUSTRALIA,New South Wales,Parramatta River,boating,27.34582218257508,Unkown,White shark,March,N,M
2068,Reported      03-Mar-2000,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,non representative,27,Unkown,Shark involvement  questionable,March,N,M
2069,02-Mar-2000,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",swimming,27.34582218257508,Unkown,White shark,March,N,M
2070,Mar-2000,USA,Louisiana,Midnight Lump (38 miles offshore),fishing,39,afternoon,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",March,N,M
2071,21-Feb-2000,USA,Florida,"Riviera Beach, Palm Beach County",non representative,27,afternoon,White shark,February,N,M
2072,19-Feb-2000,SOUTH AFRICA,Western Cape Province,Struis Bay,non representative,27.34582218257508,afternoon,"White shark, 2.5 m ",February,N,M
2073,14-Feb-2000,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,non representative,27.34582218257508,Unkown,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks",February,N,M
2074,03-Feb-2000,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),surfing,12,Unkown,White shark,February,N,M
2075,01-Feb-2000,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",surfing,26,Unkown,3 m [10'] shark,February,N,M
2076,Reported 28-Jan-2000,REUNION,Unkown,Saint Pierre,non representative,27.34582218257508,Unkown,White shark,January,F,M
2077,05-Jan-2000,THAILAND,Phang nga Province,Phang nga Island,non representative,35,Unkown,White shark,January,F,M
2078,2000,USA,Florida,"Boca Grande, Lee County",non representative,27.34582218257508,Unkown,Hammerhead shark,Unkown,N,M
2079,31-Dec-1999,NEW ZEALAND,South Island,Oreti Beach,surfing,15,Unkown,Sevengill shark,December,N,M
2080,31-Dec-1999,NEW ZEALAND,South Island,Oreti Beach,swimming,13,Unkown,Sevengill shark,December,N,F
2081,31-Dec-1999,NEW ZEALAND,South Island,Oreti Beach,non representative,12,Unkown,Sevengill shark,December,N,F
2082,26-Dec-1999,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",surfing,18,Unkown,"Thought to involve a white, bull or tiger shark",December,N,M
2083,14-Dec-1999,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",non representative,27.34582218257508,Unkown,Shark involvement not confirmed,December,N,M
